Window,EnsembleType,ReferenceId,Nsim,Repeat,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase
famp1,Reference,1,NaN,NaN,20000,20000,0,1,101001729
famp1,Reference,2,NaN,NaN,20000,20000,0,1,102001729
famp1,Reference,3,NaN,NaN,20000,20000,0,1,103001729
famp1,SmallRun,NaN,20,1,20,20,0,1,201011729
famp1,SmallRun,NaN,20,2,20,20,0,1,201021729
famp1,SmallRun,NaN,20,3,20,20,0,1,201031729
famp1,SmallRun,NaN,20,4,20,20,0,1,201041729
famp1,SmallRun,NaN,20,5,20,20,0,1,201051729
famp1,SmallRun,NaN,20,6,20,20,0,1,201061729
famp1,SmallRun,NaN,20,7,20,20,0,1,201071729
famp1,SmallRun,NaN,20,8,20,20,0,1,201081729
famp1,SmallRun,NaN,20,9,20,20,0,1,201091729
famp1,SmallRun,NaN,20,10,20,20,0,1,201101729
famp1,SmallRun,NaN,20,11,20,20,0,1,201111729
famp1,SmallRun,NaN,20,12,20,20,0,1,201121729
famp1,SmallRun,NaN,20,13,20,20,0,1,201131729
famp1,SmallRun,NaN,20,14,20,20,0,1,201141729
famp1,SmallRun,NaN,20,15,20,20,0,1,201151729
famp1,SmallRun,NaN,20,16,20,20,0,1,201161729
famp1,SmallRun,NaN,20,17,20,20,0,1,201171729
famp1,SmallRun,NaN,20,18,20,20,0,1,201181729
famp1,SmallRun,NaN,20,19,20,20,0,1,201191729
famp1,SmallRun,NaN,20,20,20,20,0,1,201201729
famp1,SmallRun,NaN,20,21,20,20,0,1,201211729
famp1,SmallRun,NaN,20,22,20,20,0,1,201221729
famp1,SmallRun,NaN,20,23,20,20,0,1,201231729
famp1,SmallRun,NaN,20,24,20,20,0,1,201241729
famp1,SmallRun,NaN,20,25,20,20,0,1,201251729
famp1,SmallRun,NaN,20,26,20,20,0,1,201261729
famp1,SmallRun,NaN,20,27,20,20,0,1,201271729
famp1,SmallRun,NaN,20,28,20,20,0,1,201281729
famp1,SmallRun,NaN,20,29,20,20,0,1,201291729
famp1,SmallRun,NaN,20,30,20,20,0,1,201301729
famp1,SmallRun,NaN,50,1,50,50,0,1,202011729
famp1,SmallRun,NaN,50,2,50,50,0,1,202021729
famp1,SmallRun,NaN,50,3,50,50,0,1,202031729
famp1,SmallRun,NaN,50,4,50,50,0,1,202041729
famp1,SmallRun,NaN,50,5,50,50,0,1,202051729
famp1,SmallRun,NaN,50,6,50,50,0,1,202061729
famp1,SmallRun,NaN,50,7,50,50,0,1,202071729
famp1,SmallRun,NaN,50,8,50,50,0,1,202081729
famp1,SmallRun,NaN,50,9,50,50,0,1,202091729
famp1,SmallRun,NaN,50,10,50,50,0,1,202101729
famp1,SmallRun,NaN,50,11,50,50,0,1,202111729
famp1,SmallRun,NaN,50,12,50,50,0,1,202121729
famp1,SmallRun,NaN,50,13,50,50,0,1,202131729
famp1,SmallRun,NaN,50,14,50,50,0,1,202141729
famp1,SmallRun,NaN,50,15,50,50,0,1,202151729
famp1,SmallRun,NaN,50,16,50,50,0,1,202161729
famp1,SmallRun,NaN,50,17,50,50,0,1,202171729
famp1,SmallRun,NaN,50,18,50,50,0,1,202181729
famp1,SmallRun,NaN,50,19,50,50,0,1,202191729
famp1,SmallRun,NaN,50,20,50,50,0,1,202201729
famp1,SmallRun,NaN,50,21,50,50,0,1,202211729
famp1,SmallRun,NaN,50,22,50,50,0,1,202221729
famp1,SmallRun,NaN,50,23,50,50,0,1,202231729
famp1,SmallRun,NaN,50,24,50,50,0,1,202241729
famp1,SmallRun,NaN,50,25,50,50,0,1,202251729
famp1,SmallRun,NaN,50,26,50,50,0,1,202261729
famp1,SmallRun,NaN,50,27,50,50,0,1,202271729
famp1,SmallRun,NaN,50,28,50,50,0,1,202281729
famp1,SmallRun,NaN,50,29,50,50,0,1,202291729
famp1,SmallRun,NaN,50,30,50,50,0,1,202301729
famp1,SmallRun,NaN,100,1,100,100,0,1,203011729
famp1,SmallRun,NaN,100,2,100,100,0,1,203021729
famp1,SmallRun,NaN,100,3,100,100,0,1,203031729
famp1,SmallRun,NaN,100,4,100,100,0,1,203041729
famp1,SmallRun,NaN,100,5,100,100,0,1,203051729
famp1,SmallRun,NaN,100,6,100,100,0,1,203061729
famp1,SmallRun,NaN,100,7,100,100,0,1,203071729
famp1,SmallRun,NaN,100,8,100,100,0,1,203081729
famp1,SmallRun,NaN,100,9,100,100,0,1,203091729
famp1,SmallRun,NaN,100,10,100,100,0,1,203101729
famp1,SmallRun,NaN,100,11,100,100,0,1,203111729
famp1,SmallRun,NaN,100,12,100,100,0,1,203121729
famp1,SmallRun,NaN,100,13,100,100,0,1,203131729
famp1,SmallRun,NaN,100,14,100,100,0,1,203141729
famp1,SmallRun,NaN,100,15,100,100,0,1,203151729
famp1,SmallRun,NaN,100,16,100,100,0,1,203161729
famp1,SmallRun,NaN,100,17,100,100,0,1,203171729
famp1,SmallRun,NaN,100,18,100,100,0,1,203181729
famp1,SmallRun,NaN,100,19,100,100,0,1,203191729
famp1,SmallRun,NaN,100,20,100,100,0,1,203201729
famp1,SmallRun,NaN,100,21,100,100,0,1,203211729
famp1,SmallRun,NaN,100,22,100,100,0,1,203221729
famp1,SmallRun,NaN,100,23,100,100,0,1,203231729
famp1,SmallRun,NaN,100,24,100,100,0,1,203241729
famp1,SmallRun,NaN,100,25,100,100,0,1,203251729
famp1,SmallRun,NaN,100,26,100,100,0,1,203261729
famp1,SmallRun,NaN,100,27,100,100,0,1,203271729
famp1,SmallRun,NaN,100,28,100,100,0,1,203281729
famp1,SmallRun,NaN,100,29,100,100,0,1,203291729
famp1,SmallRun,NaN,100,30,100,100,0,1,203301729
famp1,SmallRun,NaN,200,1,200,200,0,1,204011729
famp1,SmallRun,NaN,200,2,200,200,0,1,204021729
famp1,SmallRun,NaN,200,3,200,200,0,1,204031729
famp1,SmallRun,NaN,200,4,200,200,0,1,204041729
famp1,SmallRun,NaN,200,5,200,200,0,1,204051729
famp1,SmallRun,NaN,200,6,200,200,0,1,204061729
famp1,SmallRun,NaN,200,7,200,200,0,1,204071729
famp1,SmallRun,NaN,200,8,200,200,0,1,204081729
famp1,SmallRun,NaN,200,9,200,200,0,1,204091729
famp1,SmallRun,NaN,200,10,200,200,0,1,204101729
famp1,SmallRun,NaN,200,11,200,200,0,1,204111729
famp1,SmallRun,NaN,200,12,200,200,0,1,204121729
famp1,SmallRun,NaN,200,13,200,200,0,1,204131729
famp1,SmallRun,NaN,200,14,200,200,0,1,204141729
famp1,SmallRun,NaN,200,15,200,200,0,1,204151729
famp1,SmallRun,NaN,200,16,200,200,0,1,204161729
famp1,SmallRun,NaN,200,17,200,200,0,1,204171729
famp1,SmallRun,NaN,200,18,200,200,0,1,204181729
famp1,SmallRun,NaN,200,19,200,200,0,1,204191729
famp1,SmallRun,NaN,200,20,200,200,0,1,204201729
famp1,SmallRun,NaN,200,21,200,200,0,1,204211729
famp1,SmallRun,NaN,200,22,200,200,0,1,204221729
famp1,SmallRun,NaN,200,23,200,200,0,1,204231729
famp1,SmallRun,NaN,200,24,200,200,0,1,204241729
famp1,SmallRun,NaN,200,25,200,200,0,1,204251729
famp1,SmallRun,NaN,200,26,200,200,0,1,204261729
famp1,SmallRun,NaN,200,27,200,200,0,1,204271729
famp1,SmallRun,NaN,200,28,200,200,0,1,204281729
famp1,SmallRun,NaN,200,29,200,200,0,1,204291729
famp1,SmallRun,NaN,200,30,200,200,0,1,204301729
famp1,SmallRun,NaN,300,1,300,300,0,1,205011729
famp1,SmallRun,NaN,300,2,300,300,0,1,205021729
famp1,SmallRun,NaN,300,3,300,300,0,1,205031729
famp1,SmallRun,NaN,300,4,300,300,0,1,205041729
famp1,SmallRun,NaN,300,5,300,300,0,1,205051729
famp1,SmallRun,NaN,300,6,300,300,0,1,205061729
famp1,SmallRun,NaN,300,7,300,300,0,1,205071729
famp1,SmallRun,NaN,300,8,300,300,0,1,205081729
famp1,SmallRun,NaN,300,9,300,300,0,1,205091729
famp1,SmallRun,NaN,300,10,300,300,0,1,205101729
famp1,SmallRun,NaN,300,11,300,300,0,1,205111729
famp1,SmallRun,NaN,300,12,300,300,0,1,205121729
famp1,SmallRun,NaN,300,13,300,300,0,1,205131729
famp1,SmallRun,NaN,300,14,300,300,0,1,205141729
famp1,SmallRun,NaN,300,15,300,300,0,1,205151729
famp1,SmallRun,NaN,300,16,300,300,0,1,205161729
famp1,SmallRun,NaN,300,17,300,300,0,1,205171729
famp1,SmallRun,NaN,300,18,300,300,0,1,205181729
famp1,SmallRun,NaN,300,19,300,300,0,1,205191729
famp1,SmallRun,NaN,300,20,300,300,0,1,205201729
famp1,SmallRun,NaN,300,21,300,300,0,1,205211729
famp1,SmallRun,NaN,300,22,300,300,0,1,205221729
famp1,SmallRun,NaN,300,23,300,300,0,1,205231729
famp1,SmallRun,NaN,300,24,300,300,0,1,205241729
famp1,SmallRun,NaN,300,25,300,300,0,1,205251729
famp1,SmallRun,NaN,300,26,300,300,0,1,205261729
famp1,SmallRun,NaN,300,27,300,300,0,1,205271729
famp1,SmallRun,NaN,300,28,300,300,0,1,205281729
famp1,SmallRun,NaN,300,29,300,300,0,1,205291729
famp1,SmallRun,NaN,300,30,300,300,0,1,205301729
famp1,SmallRun,NaN,400,1,400,400,0,1,206011729
famp1,SmallRun,NaN,400,2,400,400,0,1,206021729
famp1,SmallRun,NaN,400,3,400,400,0,1,206031729
famp1,SmallRun,NaN,400,4,400,400,0,1,206041729
famp1,SmallRun,NaN,400,5,400,400,0,1,206051729
famp1,SmallRun,NaN,400,6,400,400,0,1,206061729
famp1,SmallRun,NaN,400,7,400,400,0,1,206071729
famp1,SmallRun,NaN,400,8,400,400,0,1,206081729
famp1,SmallRun,NaN,400,9,400,400,0,1,206091729
famp1,SmallRun,NaN,400,10,400,400,0,1,206101729
famp1,SmallRun,NaN,400,11,400,400,0,1,206111729
famp1,SmallRun,NaN,400,12,400,400,0,1,206121729
famp1,SmallRun,NaN,400,13,400,400,0,1,206131729
famp1,SmallRun,NaN,400,14,400,400,0,1,206141729
famp1,SmallRun,NaN,400,15,400,400,0,1,206151729
famp1,SmallRun,NaN,400,16,400,400,0,1,206161729
famp1,SmallRun,NaN,400,17,400,400,0,1,206171729
famp1,SmallRun,NaN,400,18,400,400,0,1,206181729
famp1,SmallRun,NaN,400,19,400,400,0,1,206191729
famp1,SmallRun,NaN,400,20,400,400,0,1,206201729
famp1,SmallRun,NaN,400,21,400,400,0,1,206211729
famp1,SmallRun,NaN,400,22,400,400,0,1,206221729
famp1,SmallRun,NaN,400,23,400,400,0,1,206231729
famp1,SmallRun,NaN,400,24,400,400,0,1,206241729
famp1,SmallRun,NaN,400,25,400,400,0,1,206251729
famp1,SmallRun,NaN,400,26,400,400,0,1,206261729
famp1,SmallRun,NaN,400,27,400,400,0,1,206271729
famp1,SmallRun,NaN,400,28,400,400,0,1,206281729
famp1,SmallRun,NaN,400,29,400,400,0,1,206291729
famp1,SmallRun,NaN,400,30,400,400,0,1,206301729
famp1,SmallRun,NaN,500,1,500,500,0,1,207011729
famp1,SmallRun,NaN,500,2,500,500,0,1,207021729
famp1,SmallRun,NaN,500,3,500,500,0,1,207031729
famp1,SmallRun,NaN,500,4,500,500,0,1,207041729
famp1,SmallRun,NaN,500,5,500,500,0,1,207051729
famp1,SmallRun,NaN,500,6,500,500,0,1,207061729
famp1,SmallRun,NaN,500,7,500,500,0,1,207071729
famp1,SmallRun,NaN,500,8,500,500,0,1,207081729
famp1,SmallRun,NaN,500,9,500,500,0,1,207091729
famp1,SmallRun,NaN,500,10,500,500,0,1,207101729
famp1,SmallRun,NaN,500,11,500,500,0,1,207111729
famp1,SmallRun,NaN,500,12,500,500,0,1,207121729
famp1,SmallRun,NaN,500,13,500,500,0,1,207131729
famp1,SmallRun,NaN,500,14,500,500,0,1,207141729
famp1,SmallRun,NaN,500,15,500,500,0,1,207151729
famp1,SmallRun,NaN,500,16,500,500,0,1,207161729
famp1,SmallRun,NaN,500,17,500,500,0,1,207171729
famp1,SmallRun,NaN,500,18,500,500,0,1,207181729
famp1,SmallRun,NaN,500,19,500,500,0,1,207191729
famp1,SmallRun,NaN,500,20,500,500,0,1,207201729
famp1,SmallRun,NaN,500,21,500,500,0,1,207211729
famp1,SmallRun,NaN,500,22,500,500,0,1,207221729
famp1,SmallRun,NaN,500,23,500,500,0,1,207231729
famp1,SmallRun,NaN,500,24,500,500,0,1,207241729
famp1,SmallRun,NaN,500,25,500,500,0,1,207251729
famp1,SmallRun,NaN,500,26,500,500,0,1,207261729
famp1,SmallRun,NaN,500,27,500,500,0,1,207271729
famp1,SmallRun,NaN,500,28,500,500,0,1,207281729
famp1,SmallRun,NaN,500,29,500,500,0,1,207291729
famp1,SmallRun,NaN,500,30,500,500,0,1,207301729
famp1,SmallRun,NaN,750,1,750,750,0,1,208011729
famp1,SmallRun,NaN,750,2,750,750,0,1,208021729
famp1,SmallRun,NaN,750,3,750,750,0,1,208031729
famp1,SmallRun,NaN,750,4,750,750,0,1,208041729
famp1,SmallRun,NaN,750,5,750,750,0,1,208051729
famp1,SmallRun,NaN,750,6,750,750,0,1,208061729
famp1,SmallRun,NaN,750,7,750,750,0,1,208071729
famp1,SmallRun,NaN,750,8,750,750,0,1,208081729
famp1,SmallRun,NaN,750,9,750,750,0,1,208091729
famp1,SmallRun,NaN,750,10,750,750,0,1,208101729
famp1,SmallRun,NaN,750,11,750,750,0,1,208111729
famp1,SmallRun,NaN,750,12,750,750,0,1,208121729
famp1,SmallRun,NaN,750,13,750,750,0,1,208131729
famp1,SmallRun,NaN,750,14,750,750,0,1,208141729
famp1,SmallRun,NaN,750,15,750,750,0,1,208151729
famp1,SmallRun,NaN,750,16,750,750,0,1,208161729
famp1,SmallRun,NaN,750,17,750,750,0,1,208171729
famp1,SmallRun,NaN,750,18,750,750,0,1,208181729
famp1,SmallRun,NaN,750,19,750,750,0,1,208191729
famp1,SmallRun,NaN,750,20,750,750,0,1,208201729
famp1,SmallRun,NaN,750,21,750,750,0,1,208211729
famp1,SmallRun,NaN,750,22,750,750,0,1,208221729
famp1,SmallRun,NaN,750,23,750,750,0,1,208231729
famp1,SmallRun,NaN,750,24,750,750,0,1,208241729
famp1,SmallRun,NaN,750,25,750,750,0,1,208251729
famp1,SmallRun,NaN,750,26,750,750,0,1,208261729
famp1,SmallRun,NaN,750,27,750,750,0,1,208271729
famp1,SmallRun,NaN,750,28,750,750,0,1,208281729
famp1,SmallRun,NaN,750,29,750,750,0,1,208291729
famp1,SmallRun,NaN,750,30,750,750,0,1,208301729
famp1,SmallRun,NaN,1000,1,1000,1000,0,1,209011729
famp1,SmallRun,NaN,1000,2,1000,1000,0,1,209021729
famp1,SmallRun,NaN,1000,3,1000,1000,0,1,209031729
famp1,SmallRun,NaN,1000,4,1000,1000,0,1,209041729
famp1,SmallRun,NaN,1000,5,1000,1000,0,1,209051729
famp1,SmallRun,NaN,1000,6,1000,1000,0,1,209061729
famp1,SmallRun,NaN,1000,7,1000,1000,0,1,209071729
famp1,SmallRun,NaN,1000,8,1000,1000,0,1,209081729
famp1,SmallRun,NaN,1000,9,1000,1000,0,1,209091729
famp1,SmallRun,NaN,1000,10,1000,1000,0,1,209101729
famp1,SmallRun,NaN,1000,11,1000,1000,0,1,209111729
famp1,SmallRun,NaN,1000,12,1000,1000,0,1,209121729
famp1,SmallRun,NaN,1000,13,1000,1000,0,1,209131729
famp1,SmallRun,NaN,1000,14,1000,1000,0,1,209141729
famp1,SmallRun,NaN,1000,15,1000,1000,0,1,209151729
famp1,SmallRun,NaN,1000,16,1000,1000,0,1,209161729
famp1,SmallRun,NaN,1000,17,1000,1000,0,1,209171729
famp1,SmallRun,NaN,1000,18,1000,1000,0,1,209181729
famp1,SmallRun,NaN,1000,19,1000,1000,0,1,209191729
famp1,SmallRun,NaN,1000,20,1000,1000,0,1,209201729
famp1,SmallRun,NaN,1000,21,1000,1000,0,1,209211729
famp1,SmallRun,NaN,1000,22,1000,1000,0,1,209221729
famp1,SmallRun,NaN,1000,23,1000,1000,0,1,209231729
famp1,SmallRun,NaN,1000,24,1000,1000,0,1,209241729
famp1,SmallRun,NaN,1000,25,1000,1000,0,1,209251729
famp1,SmallRun,NaN,1000,26,1000,1000,0,1,209261729
famp1,SmallRun,NaN,1000,27,1000,1000,0,1,209271729
famp1,SmallRun,NaN,1000,28,1000,1000,0,1,209281729
famp1,SmallRun,NaN,1000,29,1000,1000,0,1,209291729
famp1,SmallRun,NaN,1000,30,1000,1000,0,1,209301729
famp1,SmallRun,NaN,1500,1,1500,1500,0,1,210011729
famp1,SmallRun,NaN,1500,2,1500,1500,0,1,210021729
famp1,SmallRun,NaN,1500,3,1500,1500,0,1,210031729
famp1,SmallRun,NaN,1500,4,1500,1500,0,1,210041729
famp1,SmallRun,NaN,1500,5,1500,1500,0,1,210051729
famp1,SmallRun,NaN,1500,6,1500,1500,0,1,210061729
famp1,SmallRun,NaN,1500,7,1500,1500,0,1,210071729
famp1,SmallRun,NaN,1500,8,1500,1500,0,1,210081729
famp1,SmallRun,NaN,1500,9,1500,1500,0,1,210091729
famp1,SmallRun,NaN,1500,10,1500,1500,0,1,210101729
famp1,SmallRun,NaN,1500,11,1500,1500,0,1,210111729
famp1,SmallRun,NaN,1500,12,1500,1500,0,1,210121729
famp1,SmallRun,NaN,1500,13,1500,1500,0,1,210131729
famp1,SmallRun,NaN,1500,14,1500,1500,0,1,210141729
famp1,SmallRun,NaN,1500,15,1500,1500,0,1,210151729
famp1,SmallRun,NaN,1500,16,1500,1500,0,1,210161729
famp1,SmallRun,NaN,1500,17,1500,1500,0,1,210171729
famp1,SmallRun,NaN,1500,18,1500,1500,0,1,210181729
famp1,SmallRun,NaN,1500,19,1500,1500,0,1,210191729
famp1,SmallRun,NaN,1500,20,1500,1500,0,1,210201729
famp1,SmallRun,NaN,1500,21,1500,1500,0,1,210211729
famp1,SmallRun,NaN,1500,22,1500,1500,0,1,210221729
famp1,SmallRun,NaN,1500,23,1500,1500,0,1,210231729
famp1,SmallRun,NaN,1500,24,1500,1500,0,1,210241729
famp1,SmallRun,NaN,1500,25,1500,1500,0,1,210251729
famp1,SmallRun,NaN,1500,26,1500,1500,0,1,210261729
famp1,SmallRun,NaN,1500,27,1500,1500,0,1,210271729
famp1,SmallRun,NaN,1500,28,1500,1500,0,1,210281729
famp1,SmallRun,NaN,1500,29,1500,1500,0,1,210291729
famp1,SmallRun,NaN,1500,30,1500,1500,0,1,210301729
famp1,SmallRun,NaN,2000,1,2000,2000,0,1,211011729
famp1,SmallRun,NaN,2000,2,2000,2000,0,1,211021729
famp1,SmallRun,NaN,2000,3,2000,2000,0,1,211031729
famp1,SmallRun,NaN,2000,4,2000,2000,0,1,211041729
famp1,SmallRun,NaN,2000,5,2000,2000,0,1,211051729
famp1,SmallRun,NaN,2000,6,2000,2000,0,1,211061729
famp1,SmallRun,NaN,2000,7,2000,2000,0,1,211071729
famp1,SmallRun,NaN,2000,8,2000,2000,0,1,211081729
famp1,SmallRun,NaN,2000,9,2000,2000,0,1,211091729
famp1,SmallRun,NaN,2000,10,2000,2000,0,1,211101729
famp1,SmallRun,NaN,2000,11,2000,2000,0,1,211111729
famp1,SmallRun,NaN,2000,12,2000,2000,0,1,211121729
famp1,SmallRun,NaN,2000,13,2000,2000,0,1,211131729
famp1,SmallRun,NaN,2000,14,2000,2000,0,1,211141729
famp1,SmallRun,NaN,2000,15,2000,2000,0,1,211151729
famp1,SmallRun,NaN,2000,16,2000,2000,0,1,211161729
famp1,SmallRun,NaN,2000,17,2000,2000,0,1,211171729
famp1,SmallRun,NaN,2000,18,2000,2000,0,1,211181729
famp1,SmallRun,NaN,2000,19,2000,2000,0,1,211191729
famp1,SmallRun,NaN,2000,20,2000,2000,0,1,211201729
famp1,SmallRun,NaN,2000,21,2000,2000,0,1,211211729
famp1,SmallRun,NaN,2000,22,2000,2000,0,1,211221729
famp1,SmallRun,NaN,2000,23,2000,2000,0,1,211231729
famp1,SmallRun,NaN,2000,24,2000,2000,0,1,211241729
famp1,SmallRun,NaN,2000,25,2000,2000,0,1,211251729
famp1,SmallRun,NaN,2000,26,2000,2000,0,1,211261729
famp1,SmallRun,NaN,2000,27,2000,2000,0,1,211271729
famp1,SmallRun,NaN,2000,28,2000,2000,0,1,211281729
famp1,SmallRun,NaN,2000,29,2000,2000,0,1,211291729
famp1,SmallRun,NaN,2000,30,2000,2000,0,1,211301729
famp2,Reference,1,NaN,NaN,20000,20000,0,1,201001729
famp2,Reference,2,NaN,NaN,20000,20000,0,1,202001729
famp2,Reference,3,NaN,NaN,20000,20000,0,1,203001729
famp2,SmallRun,NaN,20,1,20,20,0,1,301011729
famp2,SmallRun,NaN,20,2,20,20,0,1,301021729
famp2,SmallRun,NaN,20,3,20,20,0,1,301031729
famp2,SmallRun,NaN,20,4,20,20,0,1,301041729
famp2,SmallRun,NaN,20,5,20,20,0,1,301051729
famp2,SmallRun,NaN,20,6,20,20,0,1,301061729
famp2,SmallRun,NaN,20,7,20,20,0,1,301071729
famp2,SmallRun,NaN,20,8,20,20,0,1,301081729
famp2,SmallRun,NaN,20,9,20,20,0,1,301091729
famp2,SmallRun,NaN,20,10,20,20,0,1,301101729
famp2,SmallRun,NaN,20,11,20,20,0,1,301111729
famp2,SmallRun,NaN,20,12,20,20,0,1,301121729
famp2,SmallRun,NaN,20,13,20,20,0,1,301131729
famp2,SmallRun,NaN,20,14,20,20,0,1,301141729
famp2,SmallRun,NaN,20,15,20,20,0,1,301151729
famp2,SmallRun,NaN,20,16,20,20,0,1,301161729
famp2,SmallRun,NaN,20,17,20,20,0,1,301171729
famp2,SmallRun,NaN,20,18,20,20,0,1,301181729
famp2,SmallRun,NaN,20,19,20,20,0,1,301191729
famp2,SmallRun,NaN,20,20,20,20,0,1,301201729
famp2,SmallRun,NaN,20,21,20,20,0,1,301211729
famp2,SmallRun,NaN,20,22,20,20,0,1,301221729
famp2,SmallRun,NaN,20,23,20,20,0,1,301231729
famp2,SmallRun,NaN,20,24,20,20,0,1,301241729
famp2,SmallRun,NaN,20,25,20,20,0,1,301251729
famp2,SmallRun,NaN,20,26,20,20,0,1,301261729
famp2,SmallRun,NaN,20,27,20,20,0,1,301271729
famp2,SmallRun,NaN,20,28,20,20,0,1,301281729
famp2,SmallRun,NaN,20,29,20,20,0,1,301291729
famp2,SmallRun,NaN,20,30,20,20,0,1,301301729
famp2,SmallRun,NaN,50,1,50,50,0,1,302011729
famp2,SmallRun,NaN,50,2,50,50,0,1,302021729
famp2,SmallRun,NaN,50,3,50,50,0,1,302031729
famp2,SmallRun,NaN,50,4,50,50,0,1,302041729
famp2,SmallRun,NaN,50,5,50,50,0,1,302051729
famp2,SmallRun,NaN,50,6,50,50,0,1,302061729
famp2,SmallRun,NaN,50,7,50,50,0,1,302071729
famp2,SmallRun,NaN,50,8,50,50,0,1,302081729
famp2,SmallRun,NaN,50,9,50,50,0,1,302091729
famp2,SmallRun,NaN,50,10,50,50,0,1,302101729
famp2,SmallRun,NaN,50,11,50,50,0,1,302111729
famp2,SmallRun,NaN,50,12,50,50,0,1,302121729
famp2,SmallRun,NaN,50,13,50,50,0,1,302131729
famp2,SmallRun,NaN,50,14,50,50,0,1,302141729
famp2,SmallRun,NaN,50,15,50,50,0,1,302151729
famp2,SmallRun,NaN,50,16,50,50,0,1,302161729
famp2,SmallRun,NaN,50,17,50,50,0,1,302171729
famp2,SmallRun,NaN,50,18,50,50,0,1,302181729
famp2,SmallRun,NaN,50,19,50,50,0,1,302191729
famp2,SmallRun,NaN,50,20,50,50,0,1,302201729
famp2,SmallRun,NaN,50,21,50,50,0,1,302211729
famp2,SmallRun,NaN,50,22,50,50,0,1,302221729
famp2,SmallRun,NaN,50,23,50,50,0,1,302231729
famp2,SmallRun,NaN,50,24,50,50,0,1,302241729
famp2,SmallRun,NaN,50,25,50,50,0,1,302251729
famp2,SmallRun,NaN,50,26,50,50,0,1,302261729
famp2,SmallRun,NaN,50,27,50,50,0,1,302271729
famp2,SmallRun,NaN,50,28,50,50,0,1,302281729
famp2,SmallRun,NaN,50,29,50,50,0,1,302291729
famp2,SmallRun,NaN,50,30,50,50,0,1,302301729
famp2,SmallRun,NaN,100,1,100,100,0,1,303011729
famp2,SmallRun,NaN,100,2,100,100,0,1,303021729
famp2,SmallRun,NaN,100,3,100,100,0,1,303031729
famp2,SmallRun,NaN,100,4,100,100,0,1,303041729
famp2,SmallRun,NaN,100,5,100,100,0,1,303051729
