Window,Nsim,Component,MAE,Hellinger,TotalVariation,Wasserstein
famp1,10,kxx,0.0291416666666667,0.454636172627711,0.3497,0.388429959449544
famp1,10,kyy,0.01085,0.307173651479357,0.1302,0.131542009546796
famp1,10,kzz,0.015225,0.295933433926556,0.1827,0.319734279653794
famp1,20,kxx,0.0114166666666667,0.214970887318932,0.137,0.109230917079208
famp1,20,kyy,0.00878333333333333,0.174465385874599,0.1054,0.0963845980472166
famp1,20,kzz,0.015225,0.228498545052212,0.1827,0.228715826296265
famp1,30,kxx,0.0120777777777778,0.269629426288309,0.144933333333333,0.136013793420097
famp1,30,kyy,0.0140777777777778,0.184888304246946,0.168933333333333,0.104428092478223
famp1,30,kzz,0.00773333333333333,0.167560776201298,0.0928,0.118719266326507
famp1,40,kxx,0.0117916666666667,0.24656993846239,0.1415,0.104183191495127
famp1,40,kyy,0.00755,0.170097710940884,0.0906,0.104011613463371
famp1,40,kzz,0.00614166666666667,0.185525806260156,0.0737,0.100567073120895
famp1,50,kxx,0.0137833333333333,0.214801217210571,0.1654,0.105618820963462
famp1,50,kyy,0.00460833333333333,0.129774710571484,0.0553,0.0812549876756601
famp1,50,kzz,0.0116583333333333,0.143594085388517,0.1399,0.0740938150993232
famp1,100,kxx,0.0100666666666667,0.109439047169768,0.1208,0.127572541784483
famp1,100,kyy,0.00490833333333333,0.124163188652544,0.0589,0.043769269584257
famp1,100,kzz,0.003275,0.09128592702067,0.0393,0.076572359025056
famp1,200,kxx,0.00725,0.0728165036023498,0.087,0.0499917346548199
famp1,200,kyy,0.00270833333333333,0.0799982275886513,0.0325,0.0291789203363203
famp1,200,kzz,0.0052,0.064359379947787,0.0624,0.0335463884478488
famp1,300,kxx,0.00624444444444444,0.0691700791179662,0.0749333333333333,0.0731715198874906
famp1,300,kyy,0.00430277777777778,0.108434216024929,0.0516333333333333,0.0337250648282135
famp1,300,kzz,0.00331944444444445,0.0607711476987829,0.0398333333333334,0.0324155018908065
famp1,400,kxx,0.00505,0.0645992245149752,0.0606,0.0283045699692913
famp1,400,kyy,0.00338333333333333,0.0722605210734285,0.0406,0.0390408027434888
famp1,400,kzz,0.00333333333333333,0.0599848814643734,0.04,0.0386087073915184
famp1,500,kxx,0.00300833333333333,0.0459839001098338,0.0361,0.0524463008934979
famp1,500,kyy,0.001925,0.072360888460751,0.0231,0.0194863315622292
famp1,500,kzz,0.00485833333333333,0.0630086057044518,0.0583,0.0694356405137924
famp1,1000,kxx,0.003175,0.0391726112809734,0.0381,0.0751744213928585
famp1,1000,kyy,0.004125,0.0535758306967947,0.0495,0.0191217691851205
famp1,1000,kzz,0.00136666666666667,0.0370248342195183,0.0164,0.0147846271279027
famp2,10,kxx,0.018975,0.343304397586108,0.2277,0.15283699838046
famp2,10,kyy,0.0279666666666667,0.379224796069235,0.3356,0.209589377846725
famp2,10,kzz,0.0238166666666667,0.397554455783635,0.2858,0.361211504025517
famp2,20,kxx,0.0331833333333333,0.371344002381155,0.3982,0.501405423550433
famp2,20,kyy,0.0179416666666667,0.210141988587328,0.2153,0.355186338105536
famp2,20,kzz,0.0187583333333333,0.308188596099266,0.2251,0.488437377215952
famp2,30,kxx,0.01375,0.19947531113294,0.165,0.120178185934821
famp2,30,kyy,0.0125444444444444,0.225270698098661,0.150533333333333,0.139866577502314
famp2,30,kzz,0.0157944444444444,0.262907959587149,0.189533333333333,0.25808489556473
famp2,40,kxx,0.00716666666666667,0.128294616656331,0.086,0.0524186441370393
famp2,40,kyy,0.0147333333333333,0.218307459938792,0.1768,0.192997719077439
famp2,40,kzz,0.0137583333333333,0.170049345098525,0.1651,0.102401168313862
famp2,50,kxx,0.007175,0.161673280389788,0.0861,0.0822375624667787
famp2,50,kyy,0.0149833333333333,0.265379561513724,0.1798,0.426940074800079
famp2,50,kzz,0.0110833333333333,0.132392597014467,0.133,0.0977324176369786
famp2,100,kxx,0.00943333333333333,0.188473399492255,0.1132,0.157907720091294
famp2,100,kyy,0.0139833333333333,0.195460445113831,0.1678,0.0793366542108825
famp2,100,kzz,0.00948333333333333,0.127262695363689,0.1138,0.136401646964967
famp2,200,kxx,0.00775833333333333,0.126757614577171,0.0931,0.0726097977897418
famp2,200,kyy,0.00679166666666667,0.0965415013505463,0.0815,0.143194004652405
famp2,200,kzz,0.006525,0.0919297636038524,0.0783,0.0541357301573558
famp2,300,kxx,0.00403333333333333,0.0482233607357674,0.0484,0.0510010239917723
famp2,300,kyy,0.00417777777777778,0.0765289426050323,0.0501333333333333,0.0412708292603353
famp2,300,kzz,0.00341111111111111,0.0861986090565915,0.0409333333333333,0.0383326249625629
famp2,400,kxx,0.0049,0.0739609387812586,0.0588,0.0446142420058389
famp2,400,kyy,0.005025,0.068746205603607,0.0603,0.111395034046213
famp2,400,kzz,0.00504166666666667,0.0802547469065734,0.0605,0.0852250441861138
famp2,500,kxx,0.002825,0.0340768860917641,0.0339,0.0450337972545181
famp2,500,kyy,0.00435,0.0678087091079413,0.0522,0.0375416938137106
famp2,500,kzz,0.001975,0.0378880072878116,0.0237,0.0328888892038548
famp2,1000,kxx,0.0029,0.0388209119485413,0.0348,0.0281329303515004
famp2,1000,kyy,0.00334166666666667,0.0508135625423816,0.0401,0.0430136723494418
famp2,1000,kzz,0.00230833333333333,0.0481523199575518,0.0277,0.0186014089648485
famp3,10,kxx,0.0301333333333333,0.413209038904127,0.3616,0.419182100324999
famp3,10,kyy,0.0246416666666667,0.34228260800269,0.2957,0.297659008264367
famp3,10,kzz,0.0169166666666667,0.331001975924756,0.203,0.454708111732942
famp3,20,kxx,0.0126166666666667,0.220718204853181,0.1514,0.177851686525905
famp3,20,kyy,0.0201666666666667,0.31124533247687,0.242,0.195230816098418
famp3,20,kzz,0.01475,0.244916485709185,0.177,0.268753115440022
famp3,30,kxx,0.0301333333333333,0.35555089156279,0.3616,0.366550220810134
famp3,30,kyy,0.0165083333333333,0.190079486510986,0.1981,0.222688352111676
famp3,30,kzz,0.0178583333333333,0.279699619873919,0.2143,0.301832161464098
famp3,40,kxx,0.013225,0.255236849413946,0.1587,0.315673156280076
famp3,40,kyy,0.0113166666666667,0.183409496179582,0.1358,0.353007848711897
famp3,40,kzz,0.0146583333333333,0.211778157030947,0.1759,0.329722264829799
famp3,50,kxx,0.0121333333333333,0.165967434078311,0.1456,0.175993128437072
famp3,50,kyy,0.00845833333333333,0.110596068883478,0.1015,0.0958787624088566
famp3,50,kzz,0.01565,0.188246079944656,0.1878,0.0995695439842215
famp3,100,kxx,0.01005,0.150469481551939,0.1206,0.102079765140586
famp3,100,kyy,0.00919166666666667,0.122922588378505,0.1103,0.242761992575331
famp3,100,kzz,0.012475,0.148366919983722,0.1497,0.217038410742695
famp3,200,kxx,0.00704166666666666,0.109389866283036,0.0845,0.102991244054265
famp3,200,kyy,0.00459166666666667,0.0819114510463443,0.0551,0.103167908368926
famp3,200,kzz,0.00643333333333333,0.101530715884525,0.0772,0.0804474462610384
famp3,300,kxx,0.00482222222222222,0.0652646040767024,0.0578666666666667,0.029328396971251
famp3,300,kyy,0.00628611111111111,0.0746646357995592,0.0754333333333333,0.0833967164818404
famp3,300,kzz,0.00424444444444444,0.0977934342982692,0.0509333333333333,0.0654383750247745
famp3,400,kxx,0.00530833333333334,0.0589945319094656,0.0637,0.073027832346339
famp3,400,kyy,0.003825,0.0539852198278119,0.0459,0.0628096144395055
famp3,400,kzz,0.00504166666666667,0.0828939307664182,0.0605,0.170298170484745
famp3,500,kxx,0.004575,0.0542611506605558,0.0549,0.0543244354660035
famp3,500,kyy,0.00506666666666666,0.0685422691428297,0.0608,0.137319543567104
famp3,500,kzz,0.00310833333333333,0.0639784399903814,0.0373,0.0265896555359206
famp3,1000,kxx,0.00206666666666667,0.0359788210933454,0.0248,0.0189173945500911
famp3,1000,kyy,0.00244166666666667,0.037091517425582,0.0293,0.0325669102454608
famp3,1000,kzz,0.000958333333333332,0.0335988069092082,0.0115,0.0333245131811021
famp4,10,kxx,0.0545333333333333,0.653795308959828,0.6544,0.308449114307785
famp4,10,kyy,0.0297083333333333,0.43701570332326,0.3565,0.3958987303037
famp4,10,kzz,0.0159416666666667,0.268974516211073,0.1913,0.313407002960413
famp4,20,kxx,0.0277416666666667,0.34181223298554,0.3329,0.128467074971649
famp4,20,kyy,0.033325,0.383623908124438,0.3999,0.778641819585389
famp4,20,kzz,0.0101916666666667,0.238257467439237,0.1223,0.129148878905373
famp4,30,kxx,0.0127972222222222,0.200874048833497,0.153566666666667,0.0903523022495217
famp4,30,kyy,0.013975,0.236528159339698,0.1677,0.154521629617926
famp4,30,kzz,0.00881388888888889,0.200885843576802,0.105766666666667,0.102339583719277
famp4,40,kxx,0.01805,0.215548883951616,0.2166,0.171367775590253
famp4,40,kyy,0.0192333333333333,0.213278371252481,0.2308,0.133316775445569
famp4,40,kzz,0.0100583333333333,0.232772072500573,0.1207,0.236847395347571
famp4,50,kxx,0.010325,0.17439674017763,0.1239,0.0835326323538143
famp4,50,kyy,0.013475,0.177134003926181,0.1617,0.354994520781126
famp4,50,kzz,0.00898333333333333,0.161573636711606,0.1078,0.184596238845635
famp4,100,kxx,0.006775,0.0949888309612477,0.0813,0.085679714235843
famp4,100,kyy,0.00909166666666667,0.124906912290142,0.1091,0.10596976961608
famp4,100,kzz,0.013775,0.172981791869851,0.1653,0.113921477238712
famp4,200,kxx,0.00745,0.0938962074998752,0.0894,0.049175920556746
famp4,200,kyy,0.00681666666666667,0.108529629948413,0.0818,0.0468971959819144
famp4,200,kzz,0.00485833333333334,0.0622820601003952,0.0583,0.0320791406108327
famp4,300,kxx,0.00358611111111111,0.0352785731564395,0.0430333333333333,0.0328615337407385
famp4,300,kyy,0.00680833333333333,0.0696414421944856,0.0817,0.0984344722570694
famp4,300,kzz,0.00489722222222222,0.0884023739068993,0.0587666666666667,0.123258702359829
famp4,400,kxx,0.00308333333333333,0.0779869298003091,0.037,0.0500672815579833
famp4,400,kyy,0.007825,0.118068927164066,0.0939,0.148036905631383
famp4,400,kzz,0.00298333333333333,0.0843647798856654,0.0358,0.0552952489824664
famp4,500,kxx,0.00331666666666667,0.0590881173510089,0.0398,0.0441650358796113
famp4,500,kyy,0.00456666666666666,0.0515314148993461,0.0548,0.0360882546991943
famp4,500,kzz,0.00258333333333333,0.044997758492108,0.031,0.0308571420806006
famp4,1000,kxx,0.00420833333333333,0.0595487551504464,0.0505,0.0516501145379718
famp4,1000,kyy,0.00284166666666667,0.0344927982788878,0.0341,0.0225281474658495
famp4,1000,kzz,0.00489166666666667,0.0854250529168158,0.0587,0.130750009515971
famp5,10,kxx,0.0191916666666667,0.307227898400142,0.2303,0.16318090711295
famp5,10,kyy,0.027225,0.409032122953247,0.3267,0.246054724230832
famp5,10,kzz,0.0259083333333333,0.3106263424012,0.3109,0.289963689280678
famp5,20,kxx,0.0193333333333333,0.260842723892058,0.232,0.302658302019616
famp5,20,kyy,0.02425,0.337663087668783,0.291,0.347526388279491
famp5,20,kzz,0.0198666666666667,0.264245805314565,0.2384,0.231977028644991
famp5,30,kxx,0.0231222222222222,0.315148422416307,0.277466666666667,0.172674582762879
famp5,30,kyy,0.0137194444444444,0.205181993659968,0.164633333333333,0.122664222496145
famp5,30,kzz,0.0103277777777778,0.197040124983609,0.123933333333333,0.163844410828112
famp5,40,kxx,0.0110333333333333,0.180454000078947,0.1324,0.175293159543369
famp5,40,kyy,0.0179333333333333,0.219606067134424,0.2152,0.415029661085485
famp5,40,kzz,0.01205,0.138838779372696,0.1446,0.129911486318521
famp5,50,kxx,0.0152833333333333,0.170261946534191,0.1834,0.119507927410383
famp5,50,kyy,0.00889166666666667,0.177107840107272,0.1067,0.0978227867832417
famp5,50,kzz,0.0091,0.170580298497803,0.1092,0.182327113855359
famp5,100,kxx,0.00956666666666667,0.170319935715431,0.1148,0.109141365026635
famp5,100,kyy,0.00823333333333334,0.111804631378363,0.0988,0.0767326114574788
famp5,100,kzz,0.00973333333333333,0.131229727878091,0.1168,0.181030645847832
famp5,200,kxx,0.00766666666666667,0.104225854486348,0.092,0.141903808304977
famp5,200,kyy,0.00781666666666667,0.0948239327317707,0.0938,0.129589882763993
famp5,200,kzz,0.00903333333333333,0.12843156685025,0.1084,0.0749736186371673
famp5,300,kxx,0.00701111111111111,0.100916658355124,0.0841333333333333,0.0396560041471089
famp5,300,kyy,0.00598055555555556,0.0688813992557178,0.0717666666666667,0.0841315470927406
famp5,300,kzz,0.00783333333333333,0.120332008648992,0.0939999999999999,0.137724584469356
famp5,400,kxx,0.003825,0.0720090856018898,0.0459,0.0441090075518699
famp5,400,kyy,0.00614166666666667,0.0757111720382471,0.0737,0.0959848933362154
famp5,400,kzz,0.00455833333333333,0.0793800719321724,0.0547,0.0462884259692875
famp5,500,kxx,0.00595,0.0797502130487526,0.0714,0.0845139086656498
famp5,500,kyy,0.00470833333333333,0.0599340419168648,0.0565,0.0372824830791971
famp5,500,kzz,0.002975,0.0686352236986419,0.0357,0.0315042276991711
famp5,1000,kxx,0.00343333333333333,0.0632864913977503,0.0412,0.0493093885614358
famp5,1000,kyy,0.00375,0.041319155670411,0.045,0.0412662825851268
famp5,1000,kzz,0.00266666666666667,0.0446908236684605,0.032,0.0396227879588093
famp6,10,kxx,0.0320333333333333,0.480520654335058,0.3844,0.283886188425596
famp6,10,kyy,0.0120666666666667,0.251965414919809,0.1448,0.154756853814088
famp6,10,kzz,0.017975,0.313258707169565,0.2157,0.229953937609628
famp6,20,kxx,0.0165083333333333,0.285205476292074,0.1981,0.31665459197349
famp6,20,kyy,0.01035,0.121130412428932,0.1242,0.129006985897258
famp6,20,kzz,0.023325,0.306705863269441,0.2799,0.140541548733113
famp6,30,kxx,0.0182111111111111,0.270466450115791,0.218533333333333,0.12252254077424
famp6,30,kyy,0.00895,0.123726242358652,0.1074,0.060456363373142
famp6,30,kzz,0.0128722222222222,0.255912930553501,0.154466666666667,0.247280973976145
famp6,40,kxx,0.0146083333333333,0.261812768293311,0.1753,0.19884479753768
famp6,40,kyy,0.0120666666666667,0.127811510279959,0.1448,0.0774928602380745
famp6,40,kzz,0.00715833333333333,0.164150253823043,0.0859,0.102447351885182
famp6,50,kxx,0.0133333333333333,0.243812007530484,0.16,0.15779752378924
famp6,50,kyy,0.0138166666666667,0.133401645715317,0.1658,0.122749178477916
famp6,50,kzz,0.0122333333333333,0.187362174929502,0.1468,0.116628131526859
famp6,100,kxx,0.017525,0.249867060786823,0.2103,0.132950199757796
famp6,100,kyy,0.00480833333333334,0.091143779792163,0.0577,0.05170733285835
famp6,100,kzz,0.00776666666666667,0.117109108940897,0.0932,0.143281806119965
famp6,200,kxx,0.00460833333333333,0.0722733568295684,0.0553,0.0899504449620176
famp6,200,kyy,0.00688333333333333,0.0703727464684345,0.0826,0.0372887649723788
famp6,200,kzz,0.005375,0.0911154649018237,0.0645,0.139049083099762
famp6,300,kxx,0.00849722222222222,0.0972456861771364,0.101966666666667,0.170813303398633
famp6,300,kyy,0.00248055555555555,0.0389084959917464,0.0297666666666667,0.0215458056295745
famp6,300,kzz,0.00527777777777778,0.0710953583295225,0.0633333333333333,0.0506565983749664
famp6,400,kxx,0.00516666666666667,0.050603877804663,0.062,0.0449172570933651
famp6,400,kyy,0.00290833333333333,0.0452111543831151,0.0349,0.0197856603512564
famp6,400,kzz,0.00545,0.0925742270258828,0.0654,0.0842888468364221
famp6,500,kxx,0.006075,0.0751635211902014,0.0729,0.100686256346932
famp6,500,kyy,0.00200833333333334,0.0405309883444179,0.0241,0.0300689706946968
famp6,500,kzz,0.00416666666666667,0.07188114254707,0.05,0.0830056042319822
famp6,1000,kxx,0.002875,0.0518590316750004,0.0345,0.0295995221992516
famp6,1000,kyy,0.002175,0.0235481734856223,0.0261,0.0162511312633308
famp6,1000,kzz,0.003375,0.0454370515661701,0.0405,0.0368076386620558
